ZGNXdate,ZGNXnews,ZGNXsource
10/31/14,Zogenix and Purdue Pharma Exchange Waivers of Regulatory Exclusivity for Extended-Release Hydrocodone Products,PMZ
10/30/14,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2014 Earnings Call for 6-November-2014 4:30 PM ET",FCSTEV
10/30/14,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2014 Earnings Release for 6-November-2014 After Market Hours ET",FCSTEV
10/30/14,Zogenix Announces Conference Call and Webcast to Present Third Quarter 2014 Financial Results,PMZ
10/27/14,"Zogenix, Inc.(ZGNX-US) Schedules Acquisition of Brabant Pharma by Zogenix, Inc Call for 27-October-2014 4:30 PM ET",FCSTEV
10/27/14,Zogenix Acquires U.K.-Based Brabant Pharma,PMZ
10/01/14,Zogenix Submits Modified Formulation of Zohydro(R) ER With Potential Abuse Deterrent Properties for FDA Review,PMZ
09/29/14,"Pharma Equities Technical Momentum - Provectus Biopharma, Shire, Impax Labs, Zogenix, and TherapeuticsMD",PRN
09/18/14,New Data Shows Zohydro(R) ER Reduced Pain and Improved Function in People With Chronic Pain,PMZ
09/04/14,"Education, Patient-Focused Approach to Treating Chronic Pain Are Keys to Preventing Opioid Abuse, Say Experts, Patients",PMZ
09/02/14,"Zogenix, Inc.(ZGNX-US) Schedules Morgan Stanley Global Healthcare Conference for 10-September-2014 10:20 AM ET",FCSTEV
09/02/14,Zogenix to Participate in Morgan Stanley Global Healthcare Conference 2014,PMZ
09/02/14,Zohydro(R) ER Demonstrates Sustained 12-Hour Pain Relief,PMZ
08/21/14,"Pharma Stocks Review -- Eli Lilly, Zogenix, GlaxoSmithKline, Novo Nordisk, and Valeant Pharma Intl.",PRN
08/05/14,Zogenix Reports Second Quarter 2014 Financial Results,PMZ
08/01/14,"Zogenix Announces Departure of Chief Commercial Officer, Scott Shively",PMZ
07/22/14,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2014 Earnings Call for 5-August-2014 4:30 PM ET",FCSTEV
07/22/14,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2014 Earnings Release for 5-August-2014 After Market Hours ET",FCSTEV
07/22/14,"Technical Coverage on Pharma Stocks -- GlaxoSmithKline, TherapeuticsMD, AstraZeneca, Zogenix, and Novartis",PRN
07/22/14,Zogenix Announces Conference Call and Webcast to Present Second Quarter 2014 Financial Results,PMZ
07/17/14,"Zogenix Announces Appointment of David Brushwood, J.D., R.Ph., to External Safe Use Board",PMZ
07/14/14,Zogenix Announces New Patent Valid Through 2032 For DosePro(R) Needle-Free Delivery System,PMZ
07/09/14,Zogenix Reports Positive Development on U.S. District Court Ruling,PMZ
07/07/14,"Kosher Certifications, Biologic License Applications, Positive Study Results, Development Programs, and Product Acquisitions - Analyst Notes on Pfizer, Novartis, Sanofi, Zogenix and Impax",PRN
07/02/14,Zogenix Provides Update on Development of Abuse Deterrent Formulations of Zohydro(R) ER,PMZ
06/23/14,"Technical Roundup on Health Care Sector Stocks -- Research on HCA Holdings, Community Health Systems, GlaxoSmithKline, and Zogenix",PRN
06/16/14,"Zogenix, Inc.(ZGNX-US) Schedules Wells Fargo Securities Healthcare Conference for 18-June-2014 2:25 PM ET",FCSTEV
06/16/14,"Zogenix, Inc.(ZGNX-US) Schedules JMP Securities Healthcare Conference for 24-June-2014 10:00 AM ET",FCSTEV
06/16/14,Zogenix to Present at Two Upcoming Conferences,PMZ
06/02/14,Zogenix Officers to Report Withholding of Shares,PMZ
05/30/14,"Zogenix, Inc.(ZGNX-US) Schedules Jefferies Global Health Care Conference for 4-June-2014 2:30 PM ET",FCSTEV
05/30/14,Zogenix to Present at Jefferies 2014 Global Healthcare Conference,PMZ
05/30/14,"Equities Updates on Top Gainers -- Research on Comstock Resources, Zogenix, Mercadolibre, and Clovis Oncology",PRN
05/19/14,Zogenix Closes Sale of SUMAVEL(R) DosePro(R) Migraine Therapy to Endo International,PMZ
05/08/14,Zogenix Reports First Quarter 2014 Financial Results,PMZ
04/30/14,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2014 Earnings Release for 8-May-2014 After Market Hours ET",FCSTEV
04/30/14,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2014 Earnings Call for 8-May-2014 4:30 PM ET",FCSTEV
04/30/14,Zogenix Announces Conference Call and Webcast to Present First Quarter 2014 Financial Results,PMZ
04/24/14,"Zogenix, Inc.(ZGNX-US) Schedules Sale of SUMAVEL(R) DosePro(R) Migraine Therapy to Endo International by Zogenix Call for 24-April-2014 8:30 AM ET",FCSTEV
04/24/14,Endo Acquires Rights to Sumavel¬ DosePro¬,PRN
04/24/14,Zogenix Announces Sale of SUMAVEL(R) DosePro(R) Migraine Therapy to Endo International,PMZ
04/23/14,"Zogenix Responds to Governor's Action Singling Out Zohydro» ER in Massachusetts, Encourages Officials to Consider Patient Needs and Effective Class-Wide Measures",PRN
04/21/14,U.S. District Court Judge Nixes Banning of Zogenix's Painkiller in Massachusetts ,NEWS_ACW
04/15/14,Zogenix Announces Ruling Preventing the Implementation of Massachusetts Governor's Order that Prevented Access to Zohydro» ER,PRN
04/12/14,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 21-May-2014",FCSTEV
04/11/14,Let's Get the Facts Straight About Zohydro» ER--and the Important Patient Need It Fills,PRN
04/08/14,Zogenix Update on Legal Action,PRN
04/07/14,Zogenix Takes Legal Action in Federal Court to Block Massachusetts Improper Ban on Zohydro» ER,PRN
04/02/14,Zogenix Statement: Let's Get the Facts Straight About Zohydro ER,PRN
04/02/14,Zogenix Reports Granting of Inducement Awards,PMZ
03/26/14,Zogenix Appoints James Breitmeyer to Its Board of Directors,PMZ
03/12/14,"Five Star Equities Issues New Research Reports on OXGN, SNMX, SSH and ZGNX",NEWS_ACW
03/05/14,Zogenix Reports Granting of Inducement Awards,PMZ
02/27/14,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2013 Earnings Call for 5-March-2014 4:30 PM ET",FCSTTS
02/27/14,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2013 Earnings Release for 5-March-2014 After Market Hours ET",FCSTTS
02/27/14,Zogenix Announces Conference Call and Webcast to Present Fourth Quarter and Full Year 2013 Financial Results,PMZ
02/13/14,"Data From Zohydro(TM) ER (hydrocodone bitartrate) Phase 3 Clinical Trial Published in Pain Medicine Demonstrates Its Benefit as a Therapeutic Option for the Management of Pain Severe Enough to Require Daily, Around-the-Clock, Long-Term Opioid Treatment and for Which Alternative Treatment Options Are Inadequate",PMZ
02/12/14,Zogenix Establishes External Safe-Use Board,PMZ
02/11/14,Zogenix Provides Update on Zohydro(TM) ER (hydrocodone bitartrate) Launch Readiness Plans,PMZ
02/11/14,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners Healthcare Conference for 11-February-2014 8:00 AM ET",FCSTTS
02/04/14,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Swann Global Healthcare Conference for 12-February-2014 2:40 PM ET",FCSTTS
02/04/14,Zogenix to Present at Leerink Swann 2014 Global Healthcare Conference,PMZ
02/04/14,Zogenix Reports Granting of Inducement Awards,PMZ
01/16/14,"Updates on Clinical Trial Enrollment, Product Development Updates, Clinical Collaboration, and Preliminary Sales Report - Research Report on Raptor, Synageva, XenoPort, Portola, and Zogenix",PRN
01/13/14,Zogenix Announces Preliminary Fourth Quarter 2013 Gross Product Sales,PMZ
01/09/14,"Zogenix and Mallinckrodt Agree to End Co-Promotion for SUMAVEL(R) DosePro(R) Effective January 31, 2014",PMZ
01/09/14,Mallinckrodt Pharmaceuticals and Zogenix to End Co-Promotion Agreement,BW
01/08/14,"Health Care Sector Under the Lens: Pfizer, Merck & Co., AbbVie and Zogenix",PRN
01/07/14,Zogenix Reports Granting of Inducement Awards,PMZ
12/17/13,Zogenix Appoints Chief Medical Officer and Expands Medical Leadership Team,PMZ
12/11/13,Zogenix Reports Granting of Inducement Awards,PMZ
12/10/13,"Pharma Industry Morning Assessment: Pfizer, Merck & Co., AbbVie, and Zogenix",PRN
12/10/13,Zogenix Announces FDA Approval of 4 mg SUMAVEL(R) DosePro(R) (sumatriptan injection) Needle-Free Delivery System,PMZ
12/04/13,"Zogenix, Inc.(ZGNX-US) Schedules Oppenheimer Health Care Conference for 11-December-2013 8:55 AM ET",FCSTEV
12/04/13,Zogenix to Present at the Oppenheimer 24th Annual Healthcare Conference,PMZ
12/03/13,Zogenix and Battelle Expand DosePro Technology Business Agreement,PMZ
11/19/13,"Healthcare Sector Announced Reforms, Financial Results, Public Offerings, Top Rankings and Positive Data - Research Report on Kindred, Zogenix, Sangamo, PhotoMedex and Supernus Pharmaceuticals",PRN
11/14/13,"Today's Research: Pfizer Inc., Merck & Co. Inc., AbbVie Inc., and Zogenix Inc.",PRN
11/12/13,"Zogenix Announces Closing of Public Offering of Common Stock, Including Full Exercise of Over-Allotment Option by Underwriters",PMZ
11/05/13,Zogenix Prices Public Offering of Common Stock,PMZ
11/04/13,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2013 Earnings Release for 4-November-2013",FCSTEV
11/04/13,"VELT, LNCO, CSIQ and ZGNX added to NASDAQ Active Stock Watch List at GSR",NEWS_ACW
11/04/13,Altus Formulation Signs Agreement With Zogenix for Development of Abuse Deterrent Formulations of Zohydro(TM) ER,PMZ
11/04/13,"Presentation, Quarterly Reports, and FDA Approval - Research Report on Merck, United Therapeutics, Endo, Isis Pharmaceuticals, and Zogenix",PRN
11/04/13,Zogenix Announces Proposed Public Offering of Common Stock,PMZ
11/04/13,Zogenix Reports Third Quarter 2013 Financial Results,PMZ
11/01/13,Zogenix Pursues Development of Abuse Deterrent Formulations of Zohydro(TM) ER With Altus Formulation,PMZ
10/28/13,"SNTA, DNDN, ZGNX and NVGN added to NASDAQ Active Stock Watch List at EPR",NEWS_ACW
10/25/13,"Zogenix, Inc.(ZGNX-US) Schedules Zohydro ER FDA Approval Call for 28-October-2013 8:30 AM ET",FCSTEV
10/25/13,Zogenix Receives FDA Approval for Zohydro(TM) ER (hydrocodone bitartrate) Extended-Release Capsules,PMZ
10/25/13,"Pre-Market Analysis: Pfizer Inc., Merck & Co. Inc., AbbVie Inc., and Zogenix Inc.",PRN
10/07/13,"Changes in Senior Management, Grants of Orphan Drug Designations, and Updates on Pipeline Development and NDA - Research Report on Vivus, Omeros, Delcath Systems, Achillion, and Zogenix",PRN
10/04/13,"Under AAAResearchReports.com Microscope: Pfizer Inc., Merck & Co. Inc., AbbVie Inc., and Zogenix Inc.",PRN
10/01/13,Zogenix Provides Update on Zohydro(TM) ER NDA,PMZ
08/29/13,"Early Briefing and Review: Pfizer Inc., Merck & Co. Inc., AbbVie Inc., and Zogenix Inc.",PRN
08/08/13,Zogenix Reports Second Quarter 2013 Financial Results,PMZ
08/05/13,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2013 Earnings Release for 8-August-2013 After Market Hours ET",FCSTEV
08/05/13,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2013 Earnings Call for 8-August-2013 4:30 PM ET",FCSTEV
08/05/13,Zogenix Announces Conference Call and Webcast to Present Second Quarter 2013 Financial Results,PMZ
08/01/13,Zogenix Begins Promotion of Migranal(R) Nasal Spray,PMZ
06/27/13,Zogenix and Valeant Pharmaceuticals Enter Exclusive Co-Promotion Agreement for Migranal(R) Nasal Spray,PMZ
06/25/13,Zogenix Launches Improved Migraine Toolbox in Conjunction With National Migraine Awareness Month,PMZ
06/05/13,Zogenix Announces Initiatives to Reach Key Business Milestones,PMZ
05/20/13,"Zogenix and Battelle to Present Positive, New Data Demonstrating Value of Needle-Free Injection for Biologics",PMZ
05/09/13,Zogenix Reports First Quarter 2013 Financial Results,PMZ
05/07/13,The Global Needle-free Delivery Technology Market Will Reach $2.4 Billion in 2017 Predicts New Visiongain Report,PRNE
05/03/13,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2013 Earnings Call for 9-May-2013 4:30 PM ET",FCSTEV
05/03/13,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2013 Earnings Release for 9-May-2013 After Market Hours ET",FCSTEV
05/03/13,Zogenix Announces Conference Call and Webcast to Present First Quarter 2013 Financial Results,PMZ
05/02/13,Zogenix Reports Positive Top-Line Results From Extended Relday(TM) Phase 1 Clinical Trial,PMZ
04/10/13,"Today's Research on Celsion, Zogenix, Actavis, and Avanir Pharma",PRN
04/04/13,North American Injectable Drug Delivery Market worth $16.6 Billion by 2017,PRN
03/27/13,Zogenix and Battelle Extend DosePro Co-Marketing Partnership,PMZ
03/18/13,"Biotech Industry Looks to Benefit From FDA's New ""Breakthrough"" Designation",INW
03/18/13,"Free Research Reports on KKD, STEC, VHC and ZGNX Issued by the Bedford Report",INW
03/15/13,"Microcap Stocks To Watch - DAKP, ZGNX",NEWS_ACW
03/15/13,Zogenix Reports Fourth Quarter and Full Year 2012 Financial Results,PMZ
03/07/13,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2012 Earnings Call for 15-March-2013 8:30 AM ET",FCSTEV
03/07/13,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2012 Earnings Release for 15-March-2013 Before Market Open ET",FCSTEV
03/07/13,Zogenix Announces Conference Call and Webcast to Present Fourth Quarter and Full Year 2012 Financial Results,PMZ
03/04/13,"R&D Investments, Pending Approvals, Acquisitions - Research Report on Optimer, Zogenix, Cubist, Merck and Questcor",PRN
03/01/13,"Today's Technical View on Unitedhealth Group, Aetna, AstraZeneca, Oncothyreon, and Zogenix",PRN
02/28/13,"Free Research Reports on ZGNX, MAKO, UNXL and MERU Issued by the Bedford Report",INW
02/27/13,"Stocks on the Move - COPI, ZGNX, UNXL",NEWS_ACW
02/26/13,Zogenix Provides Update on Zohydro(TM) ER Regulatory Review,PMZ
02/07/13,"The Real Story Behind ZGNX, GERN, FTR and CBMX",INW
01/07/13,"The Real Story Behind STSI, IMSC, CBIS and ZGNX ",INW
01/07/13,Zogenix Announces Preliminary Fourth Quarter 2012 Gross Product Sales,PMZ
01/03/13,DURECT Announces Positive Results from Relday» Phase 1 Clinical Trial,PRN
01/03/13,Zogenix Reports Positive Results From Relday(TM) Phase 1 Clinical Trial,PMZ
12/19/12,"Our Pros Knew MHR, ZGNX, OCLR and GDP Would Be Top Gainers on Tuesday ",INW
12/18/12,"The Reason It Trades, What's Moving EJ, ZGNX, ALU and SD ",INW
12/17/12,"Perfect Trade Setups, How to Play MDBX, STSI, ZGNX and AMRN ",INW
12/14/12,"The Real Story Behind PCLN, SFMI, ZGNX and FTR ",INW
12/12/12,"Stocks Traders Are Watching Closely: (NASDAQ: CTEL), (NASDAQ: ZGNX)",NEWS_ACW
12/11/12,"The Real Story Behind ZGNX, GERN, FTR and CBMX ",INW
12/11/12,"Free Research Reports on CLDX, DMND, PLXS and ZGNX Issued by the Bedford Report ",INW
12/07/12,Zogenix Provides Update on FDA Advisory Committee Meeting for Zohydro(TM) ER for Management of Chronic Pain,PMZ
12/07/12,"Zogenix, Inc.(ZGNX-US) Schedules Business Update Call for 7-December-2012 6:30 PM ET",FCSTEV
12/07/12,Trading of Zogenix Common Stock Halted,PMZ
11/26/12,Zogenix Appoints New Chief Commercial Officer,PMZ
11/15/12,"Zogenix, Inc.(ZGNX-US) Schedules Piper Jaffray Healthcare Conference for 28-November-2012 1:00 PM ET",FCSTEV
11/15/12,Zogenix to Present at the 24th Annual Piper Jaffray Healthcare Conference,PMZ
11/13/12,Preliminary Findings From Rheumatoid Arthritis Patient Survey Reveal Strong Interest in Needle-Free Self-Injection,PMZ
11/12/12,Semi-Annual Changes to the NASDAQ Biotechnology Index,PMZ
11/08/12,Zogenix Reports Third Quarter 2012 Financial Results,PMZ
11/08/12,Zogenix Announces FDA Advisory Committee Review of Zohydro(TM) ER for the Management of Chronic Pain,PMZ
10/25/12,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2012 Earnings Call for 8-November-2012 4:30 PM ET",FCSTEV
10/25/12,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2012 Earnings Release for 8-November-2012 After Market Hours ET",FCSTEV
10/25/12,Zogenix Announces Conference Call and Webcast to Present Third Quarter 2012 Financial Results,PMZ
10/23/12,Zogenix to Present New Case Study Highlighting Successful Repositioning of Injectable Sumatriptan for Migraine With a Novel Needle-Free Delivery Technology,PMZ
10/01/12,GreeneStone Muskoka Once Again Featured on Intervention Canada,BW
09/27/12,Zogenix Announces Availability of New Resources for Migraine Sufferers at www.SUMAVELDosePro.com to Support National Pain Awareness Month,PMZ
08/30/12,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Nicolaus Healthcare Conference for 6-September-2012 10:55 AM ET",FCSTEV
08/30/12,Zogenix to Present at Stifel Nicolaus 2012 Healthcare Conference,PMZ
08/09/12,Aradigm Announces Second Quarter 2012 Financial Results,BW
08/08/12,Zogenix Reports Second Quarter 2012 Financial Results,PMZ
08/01/12,Zogenix Repays Outstanding Loan With Oxford Finance LLC and Silicon Valley Bank,PMZ
07/31/12,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2012 Earnings Release for 8-August-2012 After Market Hours ET",FCSTEV
07/31/12,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2012 Earnings Call for 8-August-2012 4:30 PM ET",FCSTEV
07/31/12,Zogenix Announces Conference Call and Webcast to Present Second Quarter 2012 Financial Results,PMZ
07/30/12,"Zogenix and Battelle Launch ""Less is More"" DosePro(R) Marketing Campaign",PMZ
07/24/12,Zogenix Prices Public Offering of Common Stock and Warrants to Purchase Common Stock,PMZ
07/23/12,Zogenix Announces Proposed Public Offering of Common Stock and Warrants to Purchase Common Stock,PMZ
07/16/12,Zogenix Announces U.S. Food and Drug Administration (FDA) Acceptance for Review of Zohydro ER(TM) New Drug Application (NDA) for Treatment of Chronic Pain,PMZ
07/12/12,Zogenix Begins Relday(TM) Clinical Trial for Schizophrenia,PMZ
06/07/12,"Zogenix and Mallinckrodt, a Covidien Company, Enter Exclusive Co-Promotion Agreement for SUMAVEL(R) DosePro(R)",PMZ
06/07/12,Mallinckrodt and Zogenix Announce Exclusive Co-Promotion Arrangement on SUMAVEL¬ DosePro¬,BW
05/30/12,Zogenix Submits IND for Second DosePro(R) Candidate Relday(TM),PMZ
05/14/12,Zogenix Reports First Quarter 2012 Financial Results,PMZ
05/03/12,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2012 Earnings Call for 14-May-2012 4:30 PM ET",FCSTEV
05/03/12,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2012 Earnings Release for 14-May-2012 After Market Hours ET",FCSTEV
05/03/12,Zogenix Announces Conference Call and Webcast to Present First Quarter 2012 Financial Results,PMZ
05/02/12,Zogenix Submits New Drug Application (NDA) to U.S. Food and Drug Administration (FDA) for Zohydro» for Treatment of Chronic Pain,PRN
03/29/12,Zogenix and Battelle Ink Marketing Agreement for DosePro(R) Drug Delivery Technology,PMZ
03/08/12,Zogenix Reports Fourth Quarter and Full Year 2011 Financial Results,PMZ
02/27/12,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2011 Earnings Call for 8-March-2012 4:30 PM ET",FCSTEV
02/27/12,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2011 Earnings Release for 8-March-2012 After Market Hours ET",FCSTEV
02/27/12,Zogenix Announces Conference Call and Webcast to Present Fourth Quarter and Full Year 2011 Financial Results,PMZ
02/10/12,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Swann Global Health Care Conference for 16-February-2012 2:00 PM ET",FCSTEV
02/10/12,Zogenix to Present at Leerink Swann 2012 Global Healthcare Conference,PMZ
01/25/12,Zogenix and Battelle to Collaborate on Advanced Drug Delivery Technology,PMZ
12/21/11,"Zogenix, Inc.(ZGNX-US) Schedules Business Update Call for 21-December-2011 9:00 AM ET",FCSTEV
12/21/11,Zogenix Reviews Positive Sales Trends and 2012 Commercial Initiatives for SUMAVEL(R) DosePro(R),PMZ
12/21/11,"Zogenix and Astellas Agree to End Co-Promotion for SUMAVEL(R) DosePro(R) Effective March 31, 2012",PMZ
12/20/11,Zogenix Completes Zohydro(TM) Pre-NDA Meetings With FDA,PMZ
11/21/11,"Zogenix, Inc.(ZGNX-US) Schedules Piper Jaffray Health Care Conference for 29-November-2011 9:00 AM ET",FCSTEV
11/21/11,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Swann Management Access Day Conference for 22-November-2011",FCSTEV
11/21/11,Zogenix to Present at Two Upcoming Conferences,PMZ
11/10/11,Zogenix Reports Third Quarter 2011 Financial Results,PMZ
11/06/11,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2011 Earnings Call for 10-November-2011 4:30 PM ET",FCSTEV
11/04/11,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2011 Earnings Release for 10-November-2011 After Market Hours ET",FCSTEV
11/04/11,Zogenix Announces Conference Call and Webcast to Present Third Quarter 2011 Financial Results,PMZ
10/12/11,"Zogenix, Inc.(ZGNX-US) Schedules Investor Meeting for 13-October-2011 7:30 AM ET",FCSTEV
10/12/11,"Zogenix to Host Investor Meeting on October 13, 2011",PMZ
09/30/11,Zogenix Achieves Zohydro(TM) Long-Term Safety Database for NDA,PMZ
09/19/11,Zogenix to Present at UBS 2011 Global Life Sciences Conference,PMZ
09/19/11,"Zogenix, Inc.(ZGNX-US) Schedules UBS Global Life Sciences Conference for 21-September-2011 7:30 AM ET",FCSTEV
09/16/11,Zogenix Prices Public Offering of Common Stock,PMZ
08/24/11,Zogenix Files Registration Statement for Proposed Follow-On Offering,PMZ
08/17/11,Zogenix Reports Positive Phase 3 Results for Zohydro -- Meets Primary Efficacy Endpoint,PMZ
08/17/11,"Zogenix, Inc.(ZGNX-US) Schedules Zohydro Phase 3 Study Results Call for 17-August-2011 8:30 AM ET",FCSTEV
08/16/11,Zogenix to Hold Conference Call to Discuss Pivotal Phase 3 Results for Zohydro for Treatment of Chronic Pain,PMZ
08/10/11,Zogenix Reports Second Quarter 2011 Financial Results,PMZ
08/04/11,Zogenix Announces Publication of SUMAVEL(R) DosePro(R) Phase 4 Clinical Data,PMZ
08/02/11,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2011 Earnings Call for 10-August-2011 4:30 PM ET",FCSTEV
08/02/11,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2011 Earnings Release for 10-August-2011 After Market Hours ET",FCSTEV
08/02/11,Zogenix Announces 2011 Second Quarter Conference Call and Webcast,PMZ
07/18/11,Zogenix Closes $30 Million Royalty Financing With Cowen Healthcare Royalty Partners II,PMZ
07/12/11,Zogenix and DURECT Announce Development and License Agreement for Antipsychotic Product Candidate,PMZ
06/30/11,Zogenix Enters $30 Million Royalty Financing Agreement With Cowen Healthcare Royalty Partners II,PMZ
06/13/11,Zogenix to Present at 2011 Wells Fargo Securities Healthcare Conference,PMZ
06/06/11,Fast-Acting Migraine Treatment Highlighted During National Migraine Awareness Month,PRN
05/31/11,"Zogenix, Inc.(ZGNX-US) Schedules Wells Fargo Securities Healthcare Conference for 22-June-2011 1:00 PM ET",FCSTEV
05/27/11,Zogenix to Present Additional SUMAVEL(R) DosePro(R) Phase 4 Results at Headache Meetings in June,PMZ
05/25/11,Zogenix Stockholders Elect Mark Wiggins to Board of Directors,PMZ
05/18/11,Zogenix Highlights DosePro(R) Needle-Free Delivery System at 2011 AAPS National Biotechnology Conference,PMZ
05/16/11,Zogenix Reports First Quarter 2011 Financial Results,PMZ
05/11/11,Zogenix to Highlight DosePro(R) Needle-Free Delivery System at 2011 AAPS National Biotechnology Conference,PMZ
05/04/11,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2011 Earnings Release for 16-May-2011 After Market Hours ET",FCSTEV
05/04/11,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2011 Earnings Call for 16-May-2011 4:30 PM ET",FCSTEV
05/04/11,Zogenix to Hold Conference Call to Discuss First Quarter 2011 Financial Results,PMZ
04/13/11,Zogenix Demonstrates Increased Overall Patient Satisfaction With SUMAVEL(R) DosePro(R) Over Multiple Migraine Attacks,PMZ
04/12/11,Zogenix Announces SUMAVEL(R) DosePro(R) Named Patient Program,PMZ
03/16/11,Zogenix Announces Extension of SUMAVEL(R) DosePro(TM) U.S. Patent Protection by Eight Years,PMZ
03/03/11,Zogenix Reports Fourth Quarter and Full Year 2010 Financial Results,PMZ
03/01/11,Zogenix to Present SUMAVEL(R) DosePro(TM) Phase 4 Results at American Academy of Neurology,PMZ
02/16/11,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2010 Earnings Release for 3-March-2011 After Market Hours ET",FCSTEV
02/16/11,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2010 Earnings Call for 3-March-2011 4:30 PM ET",FCSTEV
02/16/11,Zogenix to Hold Conference Call to Discuss Fourth Quarter and Full Year 2010 Financial Results,PMZ
02/10/11,Zogenix Announces Completion of Enrollment in ZX002 Phase 3 Efficacy Study,PMZ
02/09/11,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Swann Hot Topics in Therapeutics Roundtable Conference for 17-February-2011 10:25 AM ET",FCSTEV
02/09/11,Zogenix Receives 2011 Drug Delivery Partnerships Innovation Award for SUMAVEL(R) DosePro(TM),PMZ
02/08/11,Zogenix to Participate in the Leerink Swann Hot Topics in Therapeutics Roundtable Conference,PMZ
01/11/11,SUMAVEL DosePro Receives Marketing Approval in Germany and the United Kingdom,BW
01/06/11,Zogenix and Desitin Announce Marketing Approval for SUMAVEL(R) DosePro(TM) in Germany and the United Kingdom,PMZ
12/23/10,Zogenix Announces Partial Exercise of Over-Allotment Option for Initial Public Offering,PMZ
12/13/10,Zogenix Receives 2010 Most Innovative Product Award for SUMAVEL(R) DosePro(TM),PMZ
12/07/10,SUMAVEL DosePro is Granted First European Approval,BW
12/02/10,Zogenix and Desitin Announce First European Marketing Approval for SUMAVEL(R) DosePro(TM),PMZ
11/30/10,Zogenix Announces Completion of Enrollment in ZX002 Phase 3 12-Month Safety Study,PMZ
11/22/10,Zogenix Announces Pricing of Initial Public Offering,PMZ
09/07/10,Zogenix Files Registration Statement for Proposed Initial Public Offering,PRN
07/13/10,Zogenix Secures $35 Million Debt Facility and Raises $15 Million Investment Capital,PRN
06/07/10,New Survey Reveals Critical Demand for Fast Migraine Relief,PRN
03/17/10,Zogenix Initiates Pivotal Phase 3 Clinical Trial for Novel Formulation of Oral Controlled-Release Hydrocodone,PRN
03/01/10,Zogenix Appoints New Chief Financial Officer,PRN
01/13/10,SUMAVEL(TM) DosePro(TM) Available in the United States to Treat Acute Migraine and Cluster Headaches,PRN
