FBdate,FBnews,FBsource
04/15/13,"Spruce Media, a Facebook Strategic PMD, Fully Integrates Nielsen Online Campaign Ratings Capabilities",INW
04/10/13,Avira Free Antivirus Available Worldwide via Facebook's International AV Marketplaces,BW
04/10/13,Facebook AV Marketplace Expands Internationally to Offer Sophos' Free Anti-Virus for Mac,INW
04/10/13,"Facebook and Webroot Expand ""Always-On"" Security to New Markets",PRN
04/10/13,DJ pressetext.de: Secretbook verschlŸsselt Geheimnisse auf Facebook - Versteckte Messages werden durch Steganografie mit Bildern verknŸpft,DJPA
04/09/13,"Volume Watch Alert On: (NASDAQ: FB), (NASDAQ: BBRY)",NEWS_ACW
04/08/13,DJ pressetext.de: Falsche Facebook-Freundinnen fŸllen Fiverr-Kassen - Personalisierte Dienstleistung aller Art schon ab fŸnf Dollar erh_ltlich,DJPA
04/05/13,DJ pressetext.de: Facebook verursacht schlechte Schulnoten - Nutzungsverhalten und nicht Medium per se schuld,DJPA
04/04/13,"DJ pressetext.de: Electronic Arts fŸhrt Social-Media-App ein - ""Vue"" paart Musik mit pers_nlichen Fotos und teilt sie mit Freunden",DJPA
04/04/13,"AT&T Joins with HTC and Facebook to Launch HTC First, the Only Smartphone Designed Around Facebook Home",PRN
04/04/13,"All Eyes On Facebook Inc, Morgan Stanley, Netflix Inc",NEWS_ACW
04/03/13,"DJ pressetext.de: Australien zwingt Multis zu mehr Steuertransparenz - Regierung will mehr Klarheit - ""Profit-Shifting"" als globales Problem",DJPA
04/03/13,Branding a Province with Facebook,CNW
04/03/13,"FB, ZNGA, and GLUU added to Watch List at GSR",NEWS_ACW
04/02/13,"Facebook Announcement & Goff Corporation Plan: (NASDAQ: FB), (OTCQB: GOFF)",NEWS_ACW
04/02/13,Moontoast and Kenshoo Social Partner to Power Rich Media Social Advertising Campaigns Directly in Facebook(R) News Feed,INW
04/02/13,"The Reason It Trades, What's Moving QCOM, FB and PG",INW
04/02/13,"DJ pressetext.de: Facebook wegen Timeline unter Beschuss - ""Timelines Inc."" k_mpft um Urheberrecht der Zeitachse fŸr Events",DJPA
04/01/13,"Facebook, Inc.(FB-US) Schedules Q1 2013 Earnings Call for 1-May-2013 5:00 PM ET",FCSTEV
04/01/13,"Facebook, Inc.(FB-US) Schedules Q1 2013 Earnings Release for 1-May-2013 After Market Hours ET",FCSTEV
04/01/13,Facebook to Announce First Quarter 2013 Results,PRN
04/01/13,"What's News: Facebook Inc, Federal National Mortgage Association, Goff Corp",NEWS_ACW
03/29/13,"DJ pressetext.de: Geheimdienst bekommt eigenes Social-Media-Portal - Britisches ""Facebook for Cyber Security Threats"" will Terrorismus bek_mpfen",DJPA
03/28/13,DJ pressetext.de: 14 Aufrufe am Tag: Facebook-Sucht greift um sich - Schlaf bleibt einzige Smartphone-freie Zeit - Nutzung weltweit _hnlich,DJPA
03/27/13,"Major Stocks Announcements: (NASDAQ: FB), (NASDAQ: BBRY)",NEWS_ACW
03/27/13,DJ pressetext.de: Facebook zieht 250 Mio. Spieler im Monat an - Im Verlgeich zu 2010 ist die Zahl der Gamer jedoch gesunken,DJPA
03/27/13,"Before the Crowd, How We Found FB, XOM, V and GE",INW
03/27/13,DJ pressetext.de: Social Media: Sprungbrett fŸr kriminelle Banden - Mitglieder verhalten sich zu 70 Prozent nicht gesetzeskonform im Web,DJPA
03/26/13,Unity Technologies Releases Facebook Functionality Update to Unity 4,INW
03/26/13,Plants vs. Zombiesª Adventures Launches in Limited Beta on Facebook; First Social Adaptation of PopCap Megahit,BW
03/26/13,Rio SEO Integrates Search and Social in First Local SEO Software Offering With Facebook Open Graph,INW
03/26/13,Start Making Profits Now With MU and FB,INW
03/25/13,Marketing Weekly infographic outlines how small businesses can use Facebook marketing,PRN
03/25/13,CheapOair Launches 'Sin City Madness' Contest to Celebrate Annual College Basketball Tournament,INW
03/25/13,DJ pressetext.de: Ungewollt Pornostar: Handel mit Personendaten blŸht - Fotos sekŸndlich auf pornografische Seiten mit privaten Details gestellt,DJPA
03/21/13,DJ pressetext.de: Facebook verringert Selbstbeherrschung - Plattform hat negativen Einfluss auf Body-Mass-Index und Bankkonto,DJPA
03/20/13,Tigo lance l'accès ˆ Facebook¨ en Colombie pour tous les abonn_s utilisant l'application mobile Facebook pour SIM,BW
03/20/13,"Facebook and Microsoft Corporation Trend Analysis Reports: (NASDAQ: FB), (NASDAQ: MSFT)",NEWS_ACW
03/19/13,SocialFlow Recognized by Facebook in Preferred Marketing Developer Innovation Competition,PRN
03/19/13,Optimal Wins Facebook(R) Preferred Marketing Developer Innovation Competition for Amplification of Viral Content,INW
03/19/13,Chirpify for Facebook Launches; Platform Now Powering In-Stream Commerce on Top Three Social Media Sites,INW
03/18/13,DJ pressetext.de: Gekaufte Likes sind Zeitbombe fŸr Reputation - 10.000 Video-Klicks bereits ab 35 Euro zu haben,DJPA
03/18/13,"Did You Miss FB, VZ, KO and DIS",INW
03/12/13,Amazon and Facebook to Participate in ChannelAdvisor's 2013 Catalyst Americas Conference,BW
03/11/13,DJ pressetext.de: Freundliche Marken-Postings locken Nutzer - Facebook-User bevorzugen informative und bebilderte Seiten,DJPA
03/11/13,"Stocks Buzz: Amazon.com, Inc, Facebook Inc , Best Buy Co., Inc.",NEWS_ACW
03/11/13,DJ pressetext.de: SimpleWash sorgt fŸr FrŸhjahrsputz auf Facebook - App durchsucht Profil auf heikle Kommentare und l_scht diese dauerhaft,DJPA
03/10/13,DJ pressetext.de: Irland: Facebook-User sollen fŸr Postings zahlen - Selbstt_tungen durch Cybermobbing sollen verhindert werden,DJPA
03/08/13,"Brand Pages Need To Combine Words and Pictures in Facebook News Feed, Says Punch Communications",PRN
03/07/13,"AP Pharma Report and Facebook Announcement: (OTCQB: APPA), (NASDAQ: FB)",NEWS_ACW
03/07/13,FooTalk Launches World's First Global Facebook Calling Service,BW
03/06/13,Susan Desmond-Hellmann Joins Facebook Board of Directors,PRN
03/05/13,DJ pressetext.de: P2P statt Server macht soziale Netze sicherer - Forscher pr_sentieren auf der CeBIT dezentrale Technologien,DJPA
03/05/13,"Despite Efforts To Protect Privacy, Users Increase Amount of Personal Information Available Online, Carnegie Mellon Study Finds",PRN
03/05/13,"Momentum Mixer #DigitalMedia: Storytelling for Social Change, Women & Girls Edition",PRN
03/05/13,Facebook and Fenwick Friend Seniors and Disabled Adults through Volunteer Legal Healthcare Clinic,PRN
03/05/13,"Key to Success, How to Profit: FB, MRK, CAT and EBAY",INW
03/05/13,"Perfect Trade Setups, How to Play FB, GS, ESRX and UNP",INW
03/05/13,DJ pressetext.de: Tweets stehen Volksmeinung entgegen - Postings zu politischen Ereignissen meist zu negativ,DJPA
03/04/13,888 Launches Real Money Casino on Facebook,PRNE
03/04/13,DJ pressetext.de: Facebook-Likes: Indiz fŸr Qualit_t von Kliniken - Forscher vergleichen Sterberaten mit Anzahl von Fans,DJPA
03/04/13,"News & Rumours: Apple Inc, Facebook Inc, Microsoft Corporation",NEWS_ACW
03/04/13,"Kick-off of the Lyoness Facebook Game ""Coin Rush""",PRNE
03/03/13,Nashville Chiropractor Uses Facebook to Help Patients Achieve New Year's Resolutions,PMZ
03/01/13,"A Look Into the Future, Weekend Review: FB, GS, ESRX and UNP",INW
03/01/13,Research and Markets: Facebook: The Future of its Ad-Supported Business Model,BW
02/28/13,PPC Associates Releases 2013 Guide to Facebook Advertising,PRN
02/28/13,"DJ pressetext.de: Datensammelwut: Facebook will reale Welt abbilden - Medium h_uft noch mehr Daten an, um Suchmaschine zu optimieren",DJPA
02/27/13,"Valpak¨ ""Show Us What You Love"" Sweepstakes Allows Facebook Fans to Share Photos, Win Prizes",PRN
02/26/13,"Hot Stocks Earnings Forecast: Bank of America, Affymax, Zynga, Microsoft, AT&T, and Facebook",PRN
02/26/13,DJ pressetext.de: Snapchat-MitgrŸnder zieht Kompanen vor den Kadi - Vorwurf Ideen-Klau - Ausgang des Verfahrens derzeit noch ungewiss,DJPA
02/26/13,DJ pressetext.de: Newtown-Massaker: Familien klagen Facebook an - L_schung beleidigender Postings und Fake-Communitys gefordert,DJPA
02/22/13,DJ pressetext.de: Social Media: Firmen sch_pfen Potenzial nicht aus - Interaktive Plattformen bei Kaufentscheidung immer wichtiger,DJPA
02/21/13,DJ pressetext.de: USA: Schnell wachsende KMUs setzen auf LinkedIn - Reduzierung der Recruiting-Kosten - Start-ups fokussieren Social Media,DJPA
02/20/13,"Facebook to Participate in the Morgan Stanley Technology, Media & Telecom Conference",PRN
02/20/13,"Making All the Right Moves in FB, WFC, MDLZ and AMGN",INW
02/20/13,DJ pressetext.de: Vertrauen: Google und Medien bei Lesern gleich auf - Experte h_lt Vergleich fŸr problematisch - Industriel_nder skeptisch,DJPA
02/19/13,"NYSE Hot Stocks Earnings Forecast: Herbalife, Bank of America, CenturyLink, Facebook, Microsoft, and Coca-Cola",PRN
02/18/13,DJ pressetext.de: Italiens Politiker bei Twitter mit Nachholbedarf - Dialogf_higkeit mangelhaft - Wahltermin rŸckt n_her,DJPA
02/14/13,"Say I Love You the ""Write"" Way this Valentine's Day with Pilot Pen",PRN
02/14/13,DJ pressetext.de: Schweiz will Medienkompetenz in Schulen vermitteln - Verantwortungsvoller Umgang mit Social Media im Fokus,DJPA
02/13/13,"Top Stock Alerts for Day Traders: Facebook, Coca-Cola, Zynga, Microsoft, Dell, and Sprint Nextel",PRN
02/13/13,DJ pressetext.de: Beliebteste US-Firma: Amazon stŸrzt Apple - Walt Disney und Google rangieren unter den ersten Vier,DJPA
02/12/13,"Facebook, Inc.(FB-US) Schedules Morgan Stanley Technology, Media & Telecom Conference for 27-February-2013 2:00 PM ET",FCSTEV
02/12/13,Batiste Dry Shampoo Sponsors Malan Breton Fall/Winter 2013 Show During NYFW,PMZ
02/11/13,"Hedstrom Fitness, Maker of BOSU(R), Launches First-of-Its-Kind Authentic BOSU(R) Complete App",PMZ
02/11/13,"Research and Markets: Facebook - Looking Good, but high Valuation",BW
02/08/13,DJ pressetext.de: Facebook ist Balsam fŸr verletzten Stolz - Kritisierte Menschen flŸchten in ihr virtuelles Profil,DJPA
02/07/13,2013 Future of Media Conference on February 13 at Stanford Graduate School of Business,BW
02/06/13,"Critical Alerts For Facebook, Computer Sciences, Chicago Bridge & Iron, Standard Pacific, and Jefferies Group Released By InvestorsObserver",PRN
02/06/13,"Hot Stocks Insider Trades Radar: Facebook, Microsoft, Procter & Gamble, Moody's, American International Group, and Coca-Cola",PRN
02/05/13,"OneVoice Movement Introduces an Innovative Use of Facebook Offers, Calling the World to Claim Peace and Help End the Israeli-Palestinian Conflict",PRN
02/05/13,"Fish & Richardson Files Patent Infringement Lawsuit for Rembrandt Social Media in Virginia Against Facebook, Add This Inc.",PRN
02/05/13,"Rembrandt Social Media, LP Files Suit Against Facebook and AddThis, for Patent Infringement",BW
02/05/13,"Earnings Forecast Radar: Facebook, Bank of America, Microsoft, Keryx Biopharmaceuticals, Acme Packet, and Herbalife",PRN
02/04/13,Fiksu Integrates with Facebook to Deliver Mobile Ad Optimization,PRN
02/04/13,Facebook Likes Opscode and Private Chefª,PRN
01/30/13,Facebook Reports Fourth Quarter and Full Year 2012 Results,PRN
01/30/13,"Critical SP500 Stock Alerts: Facebook, Microsoft, Seagate, Sprint Nextel, Staples, and Western Digital",PRN
01/29/13,"ADDING MULTIMEDIA Televisa is the First to Launch Facebook Oriented Video Player from within Its TV App, Powered by Applicaster",BW
01/29/13,Everyone's an Independent Filmmaker Now: Expedia.com Facebook App Transforms Travel Pics Into Vacation Video,INW
01/24/13,Collective on Facebook' Launches as First-EverÊProductÊto Tap Into Collective's Powerful Proprietary Data on World's Leading Social Network,BW
01/23/13,"Google, Facebook Continue To Flood Washington With Cash For Lobbying Efforts; Consumer Watchdog Calls Record Spending Cynical Bid To Buy Influence",PRN
01/23/13,Technical Research on Facebook and Zynga: Aiming to Boost Their Image,PRN
01/23/13,Life after Facebook: Will Online Gambling Be the Future of Zynga?,PRN
01/22/13,High 5 Casino Becomes Facebook's Fastest Growing Virtual Casino,PRNA
01/22/13,"Hot Stocks Earnings Forecast: Morgan Stanley, Bank of America, Facebook, Citigroup, Microsoft, and J.C. Penney",PRN
01/18/13,"PHL Local Gaming, LLC Posts a ""Philadelphia-First"" Facebook Page",PRN
01/17/13,"Single Touch Systems Cites Patent Ownership in ""Letter of Notification"" to Facebook, Inc.",BW
01/17/13,King.com's Candy Crush Saga Crowned Facebook's Top Game,PRN
01/17/13,"Earnings Season Stock Report: Facebook Inc, Advanced Micro Devices, Implant Sciences, Zippy Bags, AMR Corporation",PRN
01/17/13,Global Digital Advertising Spending Topped $100 Billion in 2012 -- Expected to Grow 15.1% in 2013,INW
01/16/13,Facebook (NASDAQ: FB); The New Online Matchmaker  ,NEWS_ACW
01/16/13,Facebook to Announce Fourth Quarter and Fiscal 2012 Results,PRN
01/16/13,"Intel, Facebook Collaborate on Future Data Center Rack Technologies",BW
01/16/13,DJ pressetext.de: Facebook-Suche setzt Google und Co unter Druck - Kampf um kŸnftige Werbeeinnahmen im Netz spitzt sich zu,DJPA
01/15/13,AJC Outraged at Facebook Treatment of Khaled Abu Toameh,PRN
01/15/13,"These Stocks, FB, NSC, CMC and ECA, Have Recently Been Upgraded",INW
01/14/13,"Where Social Media Could Be Headed? Is The Smartphones Industry A Target?  : (NASDAQ: FB), (NASDAQ: AAPL)",NEWS_ACW
01/14/13,"Tech Stocks In The News: (NASDAQ: RIMM), (NASDAQ: FB)",NEWS_ACW
01/14/13,"SP500 Hot Stocks Earnings Forecast: Facebook, Bank of America, Citigroup, Best Buy, Microsoft, and Dendreon",PRN
01/14/13,"Former Facebook Exec, Chris Kelly, Joins Streamweaver Board As Series A Investor",PRN
01/14/13,"Strategy Behind Our Success, We Get in Early: FB, ZNGA, GRPN and LNKD",INW
01/14/13,Koupon Media Powers 'One-Click to Mobile' Facebook Offers -- Free 30-day Trial,PMZ
01/13/13,DJ pressetext.de: Facebook bei US-Jugend nicht l_nger Nummer eins - Laut Umfrage wird Tumblr von 13-25-J_hrigen h_ufiger genutzt,DJPA
01/13/13,Las Vegas Chiropractor Educates Patients With Social Media,PMZ
01/13/13,Old Bridge Spine and Wellness Center Uses Social Media to Connect With Patients,PMZ
01/11/13,Facebook and Google Tackle 2013 Trends,INW
01/10/13,Winners and Losers in the New Facebook Local Rankings,PRNE
01/10/13,Winners and Losers in Facebook's New Local Ranking,PRN
01/10/13,"Market Watch - Active Tech Companies Investors should see: GroveWare Technologies, Facebook, Verizon, VuMee Inc. and salesforce.com Inc.",PRN
01/10/13,"150,000 Real Estate Agents Shift Focus from Web to Social Media Establishing New Possibilities for Real Estate Marketing",PRN
01/10/13,DJ pressetext.de: Fake-Webseite fŸhrt Facebook-User aufs Glatteis - Pseudo-Verbesserung von Sicheitsma§nahmen - Private Daten im Fokus,DJPA
01/09/13,"The Zacks Analyst Blog Highlights: Wal-Mart Stores, Facebook, DreamWorks Animation, Viacom and Time Warner",PRN
01/09/13,Check Point ZoneAlarm 2013 Security Products First to Offer Comprehensive Privacy Protection With Facebook Privacy Scan and Do Not Track ,INW
01/08/13,"Critical Alerts For Facebook, Target, NetApp, Catamaran, and Oasis Petroleum Released By InvestorsObserver",PRN
01/08/13,Ever had a Chat With Friday?,CNW
01/08/13,"Insider Trading Stock Alerts: Facebook, Apple, Micron, Windstream, Valero Energy, and NVIDIA",PRN
01/08/13,Fiscal Cliff Rally Could be Over as Earnings Season May be Slower Than Expected,PRN
01/08/13,"DJ pressetext.de: Immer mehr Facebook-User zum Spa§ fŸr tot erkl_rt - Experte Jonny Jelinek: ""Daten werden nur stichprobenartig ŸberprŸft""",DJPA
01/07/13,"Facebook, Inc.(FB-US) Schedules Q4 2012 Earnings Release for 30-January-2013 After Market Hours ET",FCSTEV
01/07/13,S&P Capital IQ Equity Research Issues 2013 Internet Predictions,PRN
01/07/13,"New CertainTeed Webisode Series Makes its Debut, Showcases Michigan Home Makeover",PRN
01/07/13,"Twitter, Facebook and LinkedIn Finally Invited Into Company Intranets",BW
01/07/13,"Consensus Earnings Forecast for Top Traded: Facebook, Citigroup, Bank of America, Microsoft, Apple, and EMC",PRN
01/07/13,"Research and Markets: Google vs. Yahoo, Microsoft, Facebook, and Apple in Mobile",BW
01/04/13,"Facebook, Inc.(FB-US) Schedules Q4 2012 Earnings Call for 30-January-2013 5:00 PM ET",FCSTEV
01/03/13,"If, prior to December 3, 2012, you or your child are or were a Facebook user in the United States and a Facebook Sponsored Story featured your or your child's name and profile picture, you or your child may be a ""Class Member"" in a Class Action",PRN
01/02/13,Venture M&A and IPO Market Activity Drops as 2012 Ends,PMZ
12/30/12,"The Future Of Communication (NASDAQ: FB), (NASDAQ: AAPL)",NEWS_ACW
12/28/12,"Top Active Stocks: (NASDAQ: FB), (NYSE: TOL)",NEWS_ACW
12/23/12,DJ pressetext.de: RŸckblick 2012: Zweite Krisenwelle erfasst Medien - Soziale Netzwerke und Apps nagen am Zeitbudget der User,DJPA
12/23/12,Kansas City Veterinarian Uses Facebook to Stay Connected With Pet Owners,PMZ
12/23/12,Dunwoody Chiropractor Now on Facebook,PMZ
12/21/12,DJ pressetext.de: Facebook verkauft User-Postk_sten - Fremde k_nnen gegen einen Dollar Nachrichten einschleusen,DJPA
12/20/12,DJ pressetext.de: Facebook und Co wollen eigene Handys vermarkten - Marken-Bekanntheit steigert Attraktivit_t bei K_ufern,DJPA
12/20/12,"Mid-Day Follow-Up Commentary On Selected picks: (NASDAQ: FB), (NASDAQ: SIRI)",NEWS_ACW
12/20/12,Reputation Advocate Reports Facebook Privacy Control Changes,PRN
12/19/12,"What Traders Need To Know On High Profiled Stocks: (NASDAQ: FB), (NYSE: YPF)",NEWS_ACW
12/19/12,AARP Hits One Million Fans On Its Official Facebook Page,PRN
12/17/12,"Top Stocks on Bounce Watch: Facebook, Inc. (NASDAQ: FB), Best Buy Co., Inc. (NYSE: BBY), ARIAD Pharmaceuticals, Inc. (NASDAQ: ARIA), Psychic Friends Network Inc. (OTCQB: PFNI) ",INW
12/17/12,"Breaking News on Top Traded Stocks and Penny Stocks: Facebook, Best Buy, Intel, Oracle, JPMorgan, and J.C. Penney",PRN
12/14/12,DJ pressetext.de: Facebook st_rkt Bindung mehr als Twitter - Plattform-Konzepte jedoch unterschiedlich ausgerichtet,DJPA
12/13/12,Morning Trend Analysis Reports On: (NASDAQ: FB) (NASDAQ: RIMM),NEWS_ACW
12/13/12,DJ pressetext.de: Facebook erleichtert Verbrechensbek_mpfung - Erh_hte Polizeipr_senz durch Spezialeinheiten in sozialen Netzwerken,DJPA
12/12/12,"Security First Insurance ""likes"" using social media to help seriously ill children",PRN
12/12/12,"DJ pressetext.de: Facebook liefert ""Likes"" aus dem Jenseits - Meldungen von Toten nicht einzige Unregelm_§igkeit",DJPA
12/10/12,"These Stocks Created Buzz In Trading: (NASDAQ: CSCO), (NASDAQ: FB)",NEWS_ACW
12/10/12,Moxie Software Unveils First Social Chat That Integrates with Facebook's API,BW
12/10/12,"DJ pressetext.de: Zehn Mio. neue Facebook-User in Wachstumsm_rkten - Nahost, Nordafrika, Irak und Iran verzeichnen enorme Zuw_chse",DJPA
12/06/12,KBB.com Launches 2013 Best Resale Value Awards Trivia Contest On Its Facebook Page,PRN
12/06/12,Sartori Cheese Announces December '12 Days of Christmas' Facebook Promotion,PRN
12/04/12,"Facebook, Inc. to Join the NASDAQ-100 Index Beginning December 12, 2012",PMZ
12/04/12,WestJet offers up the chance to mingle with Oprah,CNW
12/04/12,DJ pressetext.de: Spender fŸr Verfahren gegen Facebook gesucht - Datenschutz-Auflagen der irischen Beh_rden gehen nicht weit genug,DJPA
12/04/12,"Daily Wrap-up & Commentary On: (NASDAQ: FB), (NASDAQ: DELL).",NEWS_ACW
12/04/12,DJ pressetext.de: 2012: Amerikaner nutzten 230.000 Jahre Facebook und Co - Social Media immer _fter parallel zum Fernseh-Konsum verwendet,DJPA
12/03/12,"Free Analyst Opinion on FB, DELL, MSFT and AAPL Issued by the StBulls.com ",INW
12/03/12,"Pre-Market Trading Commentary On: (NASDAQ: ONNN), (NASDAQ: FB).",NEWS_ACW
12/03/12,DJ Sana Kliniken steigen mit Facebook und Medizin-Blog in die Sozialen Medien ein,DJDG
11/30/12,DJ pressetext.de: App verpasst nervenden Facebook-Freunden Auszeit - Stummschaltung gilt durchaus als angebrachte Reaktion,DJPA
11/29/12,DJ pressetext.de: Spreadly gegen das Verlagssterben - Werbeeinnahmen mit Social Sharing,DJPA
11/28/12,Animoto Brings Facebook¨ Photos to Life with Best of 2012 Facebook Videos,PRN
11/28/12,"Free Research Reports on FB, ACAD, INTC and MU Issued by Investors-Alliance ",INW
11/27/12,DJ pressetext.de: Pledgeit: Spenden-Portal animiert zu Spa§-Wetten - Freunde werden zu Herausforderungen gegen Geld aufgefordert,DJPA
11/27/12,DJ pressetext.de: Viele Facebook-Freunde treiben Stress-Pegel hoch - Berufliche Kontakte fŸhren in vielen F_llen zu Dilemma Ÿber Postings,DJPA
11/26/12,"Tech Gainers: Yahoo! Inc, Microsoft Corporation, Facebook Inc",NEWS_ACW
11/23/12,DJ pressetext.de: Facebook nervt Norweger mit Online-Werbung - Experte: Plattform unterliegt amerikanischen Bestimmungen,DJPA
11/23/12,"Free Research Reports on FB, MCP, NG and STSI Issued by the Bedford Report ",INW
11/23/12,DJ pressetext.de: Zeebly: App berichtet Ÿber Facebook-Leben - Experte: Ziel der Software soll kritisch be_ugt werden,DJPA
11/21/12,Sava Transmedia and Zynga announce Rubber Tacos for mobile,CNW
11/20/12,Realview Releases Revolutionary New Facebook App for Digital Publications,PRN
11/19/12,"Notable Insider Trades: Advanced Micro Devices, Citigroup Inc, Facebook",NEWS_ACW
11/19/12,DJ pressetext.de: Sex doch wichtiger als Facebook - Aktuelle Studie widerlegt vorherige Untersuchungen,DJPA
11/15/12,Getting Tired of Facebook? ChatRandom's Growing Video Chat Community Keeps Social Media on Its Toes,PRN
11/14/12,DJ IRW-PRESS: Facebook Inc.: www.GewinnerAktien.com -2-,DJIR
11/14/12,Heinz Heats Up the Holidays with Limited Edition Tomato Ketchup Blended with Real Jalape–o,BW
11/14/12,Facebook Launches Be Bold: Stop Bullying Campaign During Bullying Awareness Week in Canada,CNW
11/14/12,Kontagent Enables Mobile App Developers to Create More Effective Marketing Campaigns,PRN
11/13/12,"Intra-Day Trend Analysis Reports On Nasdaq Top Picks: (NASDAQ: MSFT), (NASDAQ: FB).",NEWS_ACW
11/13/12,Media Advisory - Facebook to Launch Be Bold: Stop Bullying Campaign During Bullying Awareness Week,CNW
11/12/12,Post-Election Survey Shows 51% of Consumers Will Not Use Their Mobile or Tablet Device to Shop This Holiday Season,PMZ
11/12/12,Netmining Brings Proprietary Scoring to Facebook Exchange Ad Buyers,BW
11/12/12,Technical Analysis on Facebook Inc. and Google Inc. - Social & Professional Networking Companies Continue to Grow ,INW
11/08/12,N-Play Announces First Real Estate Marketing Platform for Facebook,PRN
11/08/12,"DJ pressetext.de: Suchmaschinen: Google bŸ§t Marktanteile ein - Vor allem Bing profitiert, RŸckstand bleibt aber enorm",DJPA
11/06/12,N-Play Expands IDX Search Application on Facebook to 40 MLS Markets,PRN
11/02/12,DJ pressetext.de: Apps erleichtern Immobiliensuche - †bersicht Ÿber knappes Angebot lindert Stress,DJPA
11/02/12,CACVB Achieves #1 Ranking in Facebook Marketing,PMZ
11/02/12,DJ pressetext.de: MŸtter nutzen Facebook zur Erholung - Aktivit_ten auf Social-Media-Plattform inspirieren,DJPA
11/01/12,"Madden NFL 13 Social Tackles iPhone, iPad and Facebook",BW
11/01/12,"Fisher Nuts Announces Facebook Campaign to Donate 200,000 Meals to Texas Food Bank Network",BW
10/31/12,DJ pressetext.de: Indonesische Kidnapper suchen Opfer auf Facebook - EntfŸhrer treten mit Opfern Ÿber soziale Netzwerke in Kontakt,DJPA
10/30/12,"DJ pressetext.de: F&E-Ausgaben steigen weltweit um 9,4 Prozent - China und Indien wachsen rasant - Schwerpunkt auf IT und Automotive",DJPA
10/26/12,Half of Facebook Sellers Expect More Sales This Holiday Season Compared to Last Year,BW
10/25/12,Online voting now open for 2012 Creative Composer's Competition,CNW
10/25/12,"The Zacks Analyst Blog Highlights:Google, Microsoft, General Electric, Chipotle and Facebook",PRN
10/24/12,Research and Markets: Facebook Inc. - SWOT Analysis - 2012 Edition Provides All The Crucial Information On Facebook Inc.,BW
10/24/12,"Where We Are Headed -- New Outlook on Facebook, Inc. and Zynga Inc. ",INW
10/23/12,Facebook Reports Third Quarter 2012 Results,PRN
10/23/12,"Attain Fertility's Award-Winning Facebook Community Reaches Milestone With 16,000 Followers",PMZ
10/22/12,Triggit's Retargeting Solution for Facebook Enables Relevant Ads For 250M Consumers Worldwide,BW
10/19/12,DJ pressetext.de: Facebook macht pers_nliche Treffen ŸberflŸssig - Social Media erleichtert Kontaktpflege - Jahrgangstreffen werden out,DJPA
10/17/12,Kaspersky Lab and Facebook Partner to Make Social Networking Safer,PRN
10/17/12,Total Defense Partners with Facebook to Safeguard Users from Online Dangers,BW
10/17/12,Artez Interactive Introduces New Friendship Powered Fundraisingª App for Facebook,PRN
10/16/12,Facebook Partners With AVG to Help Keep Social Networkers Safe,PRNE
10/16/12,Avira Selected for Facebook's AV Marketplace,BW
10/16/12,Facebook Friends Webroot¨ SecureAnywhereª,PRN
10/16/12,Facebook Partners with AVG to Help Keep Social Networkers Safe,BW
10/16/12,Kaspersky Lab and Facebook Partner to Make Social Networking Safer,BW
10/16/12,DJ pressetext.de: Facebook bereitet Boden fŸr Narzissmus vor - Selbstverliebte vergr_§ern dadurch ihren eigenen Wert,DJPA
10/11/12,DJ pressetext.de: 20 Prozent aller Unternehmen ignorieren Web 2.0 - Traditionelle Branchen gegenŸber externer Kommunikation verhalten,DJPA
10/09/12,Facebook to Announce Third Quarter 2012 Results,PRN
10/09/12,"Ball Park¨ Brand Teams up with Pro Football Legends to Search for the Best ""Burgers Across America""",BW
10/09/12,DJ pressetext.de: Traditionelle Medien bei Gro§ereignissen bevorzugt - Mehrheit der Internet-Nutzer sch_tzt Zug_nglichkeit vernetzter Portale,DJPA
10/08/12,DJ pressetext.de: Facebook fŸr Wissenschaftler im Aufwind - ResearchGate wird von Social-Web-Investoren gef_rdert,DJPA
10/07/12,Raritan Veterinarians Use Social Media to Connect With Pet Owners,PMZ
10/05/12,"Stocks In News: Facebook Inc, Apple Inc, Vringo Inc, Google Inc",NEWS_ACW
10/04/12,Kaplan Test Prep Survey Finds That College Admissions Officers' Discovery of Online Material Damaging to Applicants Nearly Triples in a Year,BW
10/04/12,DJ pressetext.de: Facebook: User sollen in Zukunft bezahlen - FŸr eine Handvoll Dollar werden Postings bevorzugt behandelt,DJPA
10/03/12,"U.S. Consumers Prefer Shopping With Retailers Directly Versus Purchasing Over Social Media Channels, New hybris Study Finds",PMZ
10/02/12,"Indian Telecom Brands Dominate US Counterparts on Facebook and Twitter, According to a New Study by Unmetric",PRNE
10/01/12,DJ pressetext.de: Facebook hat keinen Einfluss auf Online-Shopping - Nur ein Prozent aller K_ufe durch Social Media beeinflusst,DJPA
09/28/12,"Quick Review: Research in Motion Solid Earnings, Facebook Inc New Formula, Apple Inc's CEO apologizes",NEWS_ACW
09/28/12,Facebook Live Covers National Cyber Security Awareness Month Launch,PRN
09/28/12,"3 Hot Stocks: Research In Motion Limited, Facebook Inc, Clearwire Corporation",NEWS_ACW
09/27/12,SecureState Sponsors Social Media Security Guide & Website,PRN
09/27/12,"Big Movers: Facebook Inc, Groupon Inc, Google Inc, Royale Energy",NEWS_ACW
09/27/12,"A Little Homework Goes a Long Way - Research & Analysis on Facebook, Inc. and Groupon, Inc. ",INW
